"","Suburb","Rooms","Type","Price","Method","SellerG","Date","Distance","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
"5316","Hawthorn",3,"h",1180000,"S","Jellis","19/11/2016",4.6,1,3,218,92,1900,"Boroondara City Council",-37.8176,145.0204,"Southern Metropolitan","11308"
"5317","Hawthorn",2,"u",470000,"VB","hockingstuart","22/05/2016",4.6,1,1,478,70,1970,"Boroondara City Council",-37.813,145.0207,"Southern Metropolitan","11308"
"5318","Hawthorn",2,"u",485000,"VB","LITTLE","22/05/2016",4.6,1,1,478,76,2005,"Boroondara City Council",-37.8226,145.0368,"Southern Metropolitan","11308"
"5321","Hawthorn",4,"h",1800000,"SP","Noel","22/08/2016",4.6,2,4,601,158,1940,"Boroondara City Council",-37.839,145.0418,"Southern Metropolitan","11308"
"5324","Hawthorn",3,"h",1855000,"S","Marshall","22/08/2016",4.6,1,1,304,125,1900,"Boroondara City Council",-37.8253,145.0287,"Southern Metropolitan","11308"
"5327","Hawthorn",2,"u",665000,"S","Jellis","23/04/2016",4.6,1,3,478,70,1965,"Boroondara City Council",-37.8183,145.0194,"Southern Metropolitan","11308"
"5330","Hawthorn",3,"h",1551000,"S","Jellis","24/09/2016",4.6,1,1,199,103,1890,"Boroondara City Council",-37.8172,145.0243,"Southern Metropolitan","11308"
"5336","Hawthorn",2,"u",612500,"S","Marshall","25/02/2017",4.6,1,1,859,71,1960,"Boroondara City Council",-37.8183,145.0423,"Southern Metropolitan","11308"
"5337","Hawthorn",3,"h",2410000,"S","Jellis","25/02/2017",4.6,2,0,249,171,1890,"Boroondara City Council",-37.8169,145.021,"Southern Metropolitan","11308"
"5341","Hawthorn",2,"u",715000,"S","Marshall","27/11/2016",4.6,1,1,478,82,2001,"Boroondara City Council",-37.8142,145.0308,"Southern Metropolitan","11308"
"5346","Hawthorn",2,"t",1055000,"S","Jellis","27/11/2016",4.6,2,1,191,151,1975,"Boroondara City Council",-37.813,145.0167,"Southern Metropolitan","11308"
"5347","Hawthorn",4,"h",1976000,"S","RT","27/11/2016",4.6,2,2,410,275,1890,"Boroondara City Council",-37.8246,145.026,"Southern Metropolitan","11308"
"5350","Hawthorn",1,"u",499000,"S","Kay","28/05/2016",4.6,1,1,478,56,1960,"Boroondara City Council",-37.8158,145.0342,"Southern Metropolitan","11308"
"5351","Hawthorn",2,"u",495000,"S","Kay","28/05/2016",4.6,1,1,478,85,1970,"Boroondara City Council",-37.8157,145.0273,"Southern Metropolitan","11308"
"5352","Hawthorn",5,"h",3750000,"PI","Marshall","28/05/2016",4.6,3,2,827,344,1920,"Boroondara City Council",-37.8144,145.0279,"Southern Metropolitan","11308"
"5354","Hawthorn",3,"h",1400000,"PI","Jellis","28/08/2016",4.6,2,1,164,126,1890,"Boroondara City Council",-37.8159,145.0219,"Southern Metropolitan","11308"
"5355","Hawthorn",1,"u",370000,"PI","Wood","28/08/2016",4.6,1,1,478,44,2014,"Boroondara City Council",-37.8222,145.0329,"Southern Metropolitan","11308"
"5356","Hawthorn",2,"u",627500,"S","Jellis","28/08/2016",4.6,2,2,478,89,2000,"Boroondara City Council",-37.8213,145.0224,"Southern Metropolitan","11308"
"5365","Heidelberg Heights",2,"h",815000,"SP","Fletchers","3/09/2016",10.5,1,2,589,120,1930,"Banyule City Council",-37.7501,145.0505,"Eastern Metropolitan","2947"
"5373","Heidelberg Heights",2,"t",565000,"S","Miles","6/08/2016",10.5,2,1,201,107,2007,"Banyule City Council",-37.7426,145.0556,"Eastern Metropolitan","2947"
"5382","Heidelberg Heights",3,"h",994000,"S","Love","10/12/2016",10.5,2,2,807,192,1950,"Banyule City Council",-37.7453,145.0559,"Eastern Metropolitan","2947"
"5387","Heidelberg Heights",3,"h",785000,"S","Barry","10/12/2016",10.5,1,0,592,130,1950,"Banyule City Council",-37.7477,145.0481,"Eastern Metropolitan","2947"
"5389","Heidelberg Heights",3,"t",620000,"VB","Miles","10/12/2016",10.5,2,2,215,118,2005,"Banyule City Council",-37.7424,145.0519,"Eastern Metropolitan","2947"
"5391","Heidelberg Heights",3,"t",706750,"S","Nelson","11/02/2017",10.5,2,2,250,125,2012,"Banyule City Council",-37.7449,145.0523,"Eastern Metropolitan","2947"
"5393","Heidelberg Heights",2,"h",584000,"S","Ray","12/06/2016",10.5,1,1,428,84,1950,"Banyule City Council",-37.7418,145.0513,"Eastern Metropolitan","2947"
"5394","Heidelberg Heights",3,"h",909000,"S","William","12/11/2016",10.5,2,2,585,134,1960,"Banyule City Council",-37.7358,145.0546,"Eastern Metropolitan","2947"
"5395","Heidelberg Heights",4,"h",1086000,"S","Miles","12/11/2016",10.5,2,2,724,161,1960,"Banyule City Council",-37.7404,145.0582,"Eastern Metropolitan","2947"
"5397","Heidelberg Heights",2,"h",680000,"S","Fletchers","12/11/2016",10.5,1,1,605,78,1950,"Banyule City Council",-37.7365,145.0545,"Eastern Metropolitan","2947"
"5400","Heidelberg Heights",2,"h",650000,"S","Haughton","16/04/2016",10.5,1,3,620,85,1950,"Banyule City Council",-37.7377,145.0541,"Eastern Metropolitan","2947"
"5401","Heidelberg Heights",5,"h",890000,"S","hockingstuart","16/04/2016",10.5,2,2,596,172,1972,"Banyule City Council",-37.7487,145.0522,"Eastern Metropolitan","2947"
"5402","Heidelberg Heights",3,"h",650000,"S","Miles","16/04/2016",10.5,1,2,582,90,1955,"Banyule City Council",-37.7422,145.05,"Eastern Metropolitan","2947"
"5409","Heidelberg Heights",2,"u",605000,"S","Harcourts","19/11/2016",10.5,1,1,166,87,2008,"Banyule City Council",-37.7416,145.0567,"Eastern Metropolitan","2947"
"5410","Heidelberg Heights",8,"h",770000,"VB","Miles","19/11/2016",10.5,4,4,638,115,1960,"Banyule City Council",-37.7426,145.048,"Eastern Metropolitan","2947"
"5411","Heidelberg Heights",3,"h",950000,"S","Miles","19/11/2016",10.5,1,2,800,118,1960,"Banyule City Council",-37.7406,145.0483,"Eastern Metropolitan","2947"
"5412","Heidelberg Heights",4,"h",856000,"S","Miles","22/08/2016",10.5,1,2,722,208,1975,"Banyule City Council",-37.7477,145.0565,"Eastern Metropolitan","2947"
"5413","Heidelberg Heights",3,"h",6e+05,"VB","Fletchers","22/08/2016",10.5,2,2,251,200,2012,"Banyule City Council",-37.7358,145.0559,"Eastern Metropolitan","2947"
"5422","Heidelberg Heights",3,"h",915000,"S","Miles","25/02/2017",10.5,1,1,748,101,1950,"Banyule City Council",-37.7416,145.0481,"Eastern Metropolitan","2947"
"5423","Heidelberg Heights",2,"u",4e+05,"PI","hockingstuart","26/07/2016",10.5,1,1,127,83,1970,"Banyule City Council",-37.747,145.0575,"Eastern Metropolitan","2947"
"5427","Heidelberg Heights",3,"h",550000,"VB","Purplebricks","27/11/2016",10.5,1,1,420,90,1960,"Banyule City Council",-37.7363,145.0506,"Eastern Metropolitan","2947"
"5429","Heidelberg Heights",2,"h",590000,"S","Miles","28/05/2016",10.5,1,2,586,80,1955,"Banyule City Council",-37.7435,145.0486,"Eastern Metropolitan","2947"
"5430","Heidelberg Heights",2,"h",920000,"S","Barry","28/05/2016",10.5,1,3,932,97,1950,"Banyule City Council",-37.7333,145.0588,"Eastern Metropolitan","2947"
"5431","Heidelberg Heights",2,"h",460000,"VB","Nelson","28/05/2016",10.5,1,2,508,79,1955,"Banyule City Council",-37.7428,145.0557,"Eastern Metropolitan","2947"
"5433","Heidelberg Heights",4,"h",1000500,"S","Miles","30/07/2016",10.5,2,1,592,191,1950,"Banyule City Council",-37.7478,145.0477,"Eastern Metropolitan","2947"
"5434","Heidelberg Heights",3,"h",631000,"S","Barry","30/07/2016",10.5,1,1,596,99,1960,"Banyule City Council",-37.7432,145.0479,"Eastern Metropolitan","2947"
"5437","Heidelberg West",3,"h",691000,"S","Haughton","3/09/2016",9.4,1,2,624,86,1965,"Banyule City Council",-37.7456,145.0397,"Eastern Metropolitan","2674"
"5438","Heidelberg West",3,"h",560000,"SP","William","3/12/2016",9.4,1,1,523,87,1960,"Banyule City Council",-37.7369,145.0376,"Eastern Metropolitan","2674"
"5447","Heidelberg West",2,"t",370000,"VB","Miles","7/05/2016",9.4,1,1,100,90,2013,"Banyule City Council",-37.7383,145.036,"Eastern Metropolitan","2674"
"5448","Heidelberg West",3,"h",532000,"S","Miles","7/11/2016",9.4,1,1,390,86,1955,"Banyule City Council",-37.7369,145.0422,"Eastern Metropolitan","2674"
"5459","Heidelberg West",2,"h",515500,"S","Barry","12/11/2016",9.4,1,1,331,111,1960,"Banyule City Council",-37.7441,145.0379,"Eastern Metropolitan","2674"
"5460","Heidelberg West",3,"h",8e+05,"S","Haughton","12/11/2016",9.4,1,3,633,88,1950,"Banyule City Council",-37.746,145.0422,"Eastern Metropolitan","2674"
"5464","Heidelberg West",2,"h",620000,"PI","Ray","16/04/2016",9.4,1,2,668,88,1950,"Banyule City Council",-37.7389,145.0393,"Eastern Metropolitan","2674"
"5466","Heidelberg West",2,"u",360000,"SP","Miles","16/04/2016",9.4,1,1,89,85,1970,"Banyule City Council",-37.7444,145.047,"Eastern Metropolitan","2674"
"5467","Heidelberg West",2,"h",440500,"S","hockingstuart","16/07/2016",9.4,1,1,368,81,1955,"Banyule City Council",-37.7341,145.0434,"Eastern Metropolitan","2674"
"5468","Heidelberg West",4,"h",758000,"S","Miles","17/09/2016",9.4,1,1,632,152,1955,"Banyule City Council",-37.7466,145.0428,"Eastern Metropolitan","2674"
"5475","Heidelberg West",3,"h",480000,"PI","Ray","18/06/2016",9.4,1,1,338,13,1980,"Banyule City Council",-37.739,145.0481,"Eastern Metropolitan","2674"
"5476","Heidelberg West",4,"h",715000,"S","Barry","19/11/2016",9.4,2,2,521,196,1990,"Banyule City Council",-37.738,145.0374,"Eastern Metropolitan","2674"
"5478","Heidelberg West",3,"h",646250,"S","Ray","22/05/2016",9.4,1,2,616,18,1965,"Banyule City Council",-37.747,145.0389,"Eastern Metropolitan","2674"
"5479","Heidelberg West",3,"h",1375000,"PI","Ray","23/04/2016",9.4,1,1,368,106,1960,"Banyule City Council",-37.7344,145.044,"Eastern Metropolitan","2674"
"5482","Heidelberg West",3,"h",722000,"S","Miles","25/02/2017",9.4,1,2,593,99,1950,"Banyule City Council",-37.7386,145.0387,"Eastern Metropolitan","2674"
"5488","Heidelberg West",2,"h",725000,"S","Haughton","27/11/2016",9.4,1,3,632,77,1960,"Banyule City Council",-37.7443,145.0462,"Eastern Metropolitan","2674"
"5496","Heidelberg West",3,"h",465000,"S","Ray","28/08/2016",9.4,1,1,413,85,1960,"Banyule City Council",-37.7399,145.0369,"Eastern Metropolitan","2674"
"5499","Hughesdale",2,"h",1550000,"S","Woodards","3/09/2016",13,1,1,732,97,1950,"Monash City Council",-37.8931,145.0791,"Southern Metropolitan","3145"
"5500","Hughesdale",2,"u",516000,"S","Ray","3/09/2016",13,1,1,478,76,1970,"Monash City Council",-37.8967,145.0858,"Southern Metropolitan","3145"
"5502","Hughesdale",3,"h",1340000,"S","Ray","3/12/2016",13,1,1,705,128,1920,"Monash City Council",-37.8994,145.0816,"Southern Metropolitan","3145"
"5504","Hughesdale",3,"h",1316000,"S","Ray","6/08/2016",13,1,2,715,126,1949,"Monash City Council",-37.9072,145.0762,"Southern Metropolitan","3145"
"5505","Hughesdale",3,"t",828000,"S","Ray","7/05/2016",13,2,1,206,118,2002,"Monash City Council",-37.8966,145.0863,"Southern Metropolitan","3145"
"5507","Hughesdale",3,"h",1055000,"S","Woodards","8/10/2016",13,1,1,562,97,1930,"Monash City Council",-37.9022,145.0811,"Southern Metropolitan","3145"
"5509","Hughesdale",2,"u",623000,"S","Ray","10/09/2016",13,1,1,101,90,1970,"Monash City Council",-37.8988,145.0781,"Southern Metropolitan","3145"
"5510","Hughesdale",4,"h",2120000,"S","Woodards","10/09/2016",13,2,2,847,315,1925,"Monash City Council",-37.8927,145.0781,"Southern Metropolitan","3145"
"5511","Hughesdale",4,"h",1745000,"S","Woodards","10/12/2016",13,2,1,547,185,1925,"Monash City Council",-37.9002,145.0768,"Southern Metropolitan","3145"
"5513","Hughesdale",4,"h",1700000,"S","Ray","12/11/2016",13,2,2,545,180,1940,"Monash City Council",-37.9002,145.0773,"Southern Metropolitan","3145"
"5514","Hughesdale",2,"u",420000,"VB","Woodards","12/11/2016",13,1,1,478,70,2010,"Monash City Council",-37.9008,145.0859,"Southern Metropolitan","3145"
"5521","Hughesdale",4,"h",1337000,"S","Ray","15/10/2016",13,1,2,696,100,1930,"Monash City Council",-37.8991,145.0804,"Southern Metropolitan","3145"
"5522","Hughesdale",2,"u",455000,"S","Fletchers","16/04/2016",13,1,2,478,60,1960,"Monash City Council",-37.8942,145.0867,"Southern Metropolitan","3145"
"5524","Hughesdale",2,"u",4e+05,"PI","Ray","17/09/2016",13,1,1,100,88,1975,"Monash City Council",-37.8945,145.0876,"Southern Metropolitan","3145"
"5528","Hughesdale",3,"h",1210000,"S","Ray","22/08/2016",13,1,2,730,122,1940,"Monash City Council",-37.9034,145.0796,"Southern Metropolitan","3145"
"5531","Hughesdale",4,"h",1167500,"S","Buxton","26/07/2016",13,2,1,678,184,1950,"Monash City Council",-37.898,145.0815,"Southern Metropolitan","3145"
"5532","Hughesdale",3,"t",9e+05,"S","Buxton","26/07/2016",13,2,1,360,154,1975,"Monash City Council",-37.8937,145.0779,"Southern Metropolitan","3145"
"5534","Hughesdale",2,"h",677500,"PI","hockingstuart","30/07/2016",13,1,4,575,83,1950,"Monash City Council",-37.9084,145.0775,"Southern Metropolitan","3145"
"5541","Ivanhoe",4,"h",2265000,"S","Miles","4/03/2017",7.9,2,2,925,208,1925,"Banyule City Council",-37.7652,145.041,"Eastern Metropolitan","5549"
"5547","Ivanhoe",3,"h",981000,"S","Nelson","4/06/2016",7.9,3,2,626,378,2016,"Banyule City Council",-37.76,145.0326,"Eastern Metropolitan","5549"
"5548","Ivanhoe",4,"h",2400000,"S","Jellis","4/06/2016",7.9,2,2,1252,201,1920,"Banyule City Council",-37.7727,145.0484,"Eastern Metropolitan","5549"
"5549","Ivanhoe",3,"t",890000,"S","Nelson","4/06/2016",7.9,2,2,249,140,2005,"Banyule City Council",-37.766,145.0345,"Eastern Metropolitan","5549"
"5553","Ivanhoe",2,"u",739000,"S","Miles","7/05/2016",7.9,1,1,648,91,1965,"Banyule City Council",-37.7702,145.0493,"Eastern Metropolitan","5549"
"5556","Ivanhoe",3,"h",785000,"S","Miles","7/11/2016",7.9,2,0,399,110,1950,"Banyule City Council",-37.7551,145.05,"Eastern Metropolitan","5549"
"5557","Ivanhoe",3,"h",1155000,"S","Nelson","7/11/2016",7.9,1,2,537,170,1945,"Banyule City Council",-37.7773,145.0379,"Eastern Metropolitan","5549"
"5560","Ivanhoe",2,"h",1020000,"S","Buckingham","10/09/2016",7.9,1,1,557,78,1955,"Banyule City Council",-37.7568,145.0355,"Eastern Metropolitan","5549"
"5563","Ivanhoe",3,"h",1465000,"S","William","10/09/2016",7.9,1,2,630,126,1960,"Banyule City Council",-37.7635,145.039,"Eastern Metropolitan","5549"
"5564","Ivanhoe",3,"t",855000,"S","Woodards","10/12/2016",7.9,2,2,478,130,1980,"Banyule City Council",-37.765,145.0422,"Eastern Metropolitan","5549"
"5567","Ivanhoe",1,"u",413000,"S","Nelson","10/12/2016",7.9,1,1,845,59,1960,"Banyule City Council",-37.7591,145.0501,"Eastern Metropolitan","5549"
"5570","Ivanhoe",3,"h",1220000,"S","Ray","11/02/2017",7.9,1,1,687,110,1975,"Banyule City Council",-37.7634,145.0361,"Eastern Metropolitan","5549"
"5572","Ivanhoe",3,"h",1605000,"S","Nelson","12/11/2016",7.9,2,2,608,165,1920,"Banyule City Council",-37.7702,145.0398,"Eastern Metropolitan","5549"
"5573","Ivanhoe",2,"u",587000,"S","Miles","12/11/2016",7.9,1,1,721,78,1960,"Banyule City Council",-37.7634,145.0406,"Eastern Metropolitan","5549"
"5585","Ivanhoe",3,"h",1535000,"S","Miles","15/10/2016",7.9,1,2,691,140,1950,"Banyule City Council",-37.7674,145.0392,"Eastern Metropolitan","5549"
"5587","Ivanhoe",4,"h",1470000,"VB","Miles","15/10/2016",7.9,2,1,694,217,1950,"Banyule City Council",-37.7565,145.0506,"Eastern Metropolitan","5549"
"5588","Ivanhoe",3,"h",1486000,"S","Nelson","15/10/2016",7.9,1,2,645,158,1930,"Banyule City Council",-37.7634,145.0439,"Eastern Metropolitan","5549"
"5594","Ivanhoe",5,"h",1730000,"S","Nelson","17/09/2016",7.9,2,2,689,292,2007,"Banyule City Council",-37.7591,145.04,"Eastern Metropolitan","5549"
"5597","Ivanhoe",3,"h",1850000,"S","Miles","18/03/2017",7.9,2,2,684,232,2000,"Banyule City Council",-37.7659,145.0392,"Eastern Metropolitan","5549"
"5602","Ivanhoe",5,"h",2600000,"S","Miles","18/06/2016",7.9,3,1,1006,411,1920,"Banyule City Council",-37.7765,145.0427,"Eastern Metropolitan","5549"
"5604","Ivanhoe",2,"u",5e+05,"PI","Ray","19/11/2016",7.9,1,1,71,70,1960,"Banyule City Council",-37.7634,145.0406,"Eastern Metropolitan","5549"
"5609","Ivanhoe",3,"h",1102000,"S","Nelson","22/05/2016",7.9,1,1,597,115,1950,"Banyule City Council",-37.7645,145.0314,"Eastern Metropolitan","5549"
"5610","Ivanhoe",3,"h",1275000,"VB","Nelson","22/05/2016",7.9,2,2,834,169,1950,"Banyule City Council",-37.7587,145.0426,"Eastern Metropolitan","5549"
"5612","Ivanhoe",2,"t",785000,"S","Jellis","22/08/2016",7.9,2,1,124,135,2010,"Banyule City Council",-37.7618,145.0287,"Eastern Metropolitan","5549"
"5613","Ivanhoe",3,"h",1223500,"S","Nelson","22/08/2016",7.9,2,2,721,136,1980,"Banyule City Council",-37.758,145.0408,"Eastern Metropolitan","5549"
"5615","Ivanhoe",4,"h",1720000,"S","Barry","22/08/2016",7.9,2,3,631,233,1935,"Banyule City Council",-37.7771,145.0448,"Eastern Metropolitan","5549"
"5618","Ivanhoe",3,"h",1225000,"SP","Miles","23/04/2016",7.9,1,1,572,130,1930,"Banyule City Council",-37.7709,145.0425,"Eastern Metropolitan","5549"
"5620","Ivanhoe",4,"h",1460000,"S","Miles","24/09/2016",7.9,1,2,605,181,1940,"Banyule City Council",-37.7707,145.0467,"Eastern Metropolitan","5549"
"5621","Ivanhoe",1,"u",421000,"SP","Nelson","24/09/2016",7.9,1,1,478,58,1992,"Banyule City Council",-37.7753,145.0419,"Eastern Metropolitan","5549"
"5624","Ivanhoe",4,"h",2090000,"S","Miles","25/02/2017",7.9,3,2,608,315,1980,"Banyule City Council",-37.7705,145.0396,"Eastern Metropolitan","5549"
"5631","Ivanhoe",3,"t",7e+05,"S","Barry","27/06/2016",7.9,2,1,189,110,1990,"Banyule City Council",-37.7661,145.0354,"Eastern Metropolitan","5549"
"5636","Ivanhoe",4,"h",2595000,"S","Miles","28/05/2016",7.9,3,3,719,407,2007,"Banyule City Council",-37.7815,145.0403,"Eastern Metropolitan","5549"
"5638","Ivanhoe",2,"t",710000,"PI","Nelson","28/08/2016",7.9,1,1,134,120,2012,"Banyule City Council",-37.7582,145.034,"Eastern Metropolitan","5549"
"5639","Ivanhoe",3,"u",650000,"PI","Barry","28/08/2016",7.9,2,2,478,96,2000,"Banyule City Council",-37.7694,145.0406,"Eastern Metropolitan","5549"
"5654","Kealba",3,"h",515000,"S","Sweeney","10/12/2016",15,1,4,597,114,1975,"Brimbank City Council",-37.7392,144.8241,"Western Metropolitan","1202"
"5656","Kealba",3,"h",582000,"SP","Brad","16/07/2016",15,2,4,530,186,1980,"Brimbank City Council",-37.7375,144.8282,"Western Metropolitan","1202"
"5657","Kealba",3,"h",545000,"SP","Brad","16/07/2016",15,2,2,570,163,1980,"Brimbank City Council",-37.7367,144.8246,"Western Metropolitan","1202"
"5659","Kealba",4,"h",751000,"S","McDonald","19/11/2016",15,2,2,649,305,2000,"Brimbank City Council",-37.7382,144.8292,"Western Metropolitan","1202"
"5660","Kealba",4,"h",5e+05,"SP","Brad","22/08/2016",15,1,2,574,100,1985,"Brimbank City Council",-37.7336,144.8226,"Western Metropolitan","1202"
"5661","Kealba",4,"h",560000,"SP","Brad","24/09/2016",15,2,2,612,155,1980,"Brimbank City Council",-37.7378,144.8264,"Western Metropolitan","1202"
"5664","Keilor East",3,"h",703000,"S","Nelson","3/09/2016",12.8,2,2,683,200,1995,"Brimbank City Council",-37.7402,144.8591,"Western Metropolitan","5629"
"5666","Keilor East",3,"h",650000,"SP","Barry","3/09/2016",12.8,1,1,538,104,1970,"Brimbank City Council",-37.7441,144.8503,"Western Metropolitan","5629"
"5667","Keilor East",3,"t",770000,"SP","Barry","3/12/2016",12.8,2,1,331,201,2010,"Brimbank City Council",-37.7325,144.8621,"Western Metropolitan","5629"
"5670","Keilor East",4,"h",9e+05,"S","Nelson","3/12/2016",12.8,2,1,289,125,2011,"Brimbank City Council",-37.7506,144.8689,"Western Metropolitan","5629"
"5673","Keilor East",3,"h",7e+05,"VB","Nelson","4/03/2017",12.8,2,2,288,116,1999,"Brimbank City Council",-37.7514,144.8731,"Western Metropolitan","5629"
"5676","Keilor East",4,"h",816000,"S","Barry","4/03/2017",12.8,2,1,540,188,1978,"Brimbank City Council",-37.7482,144.877,"Western Metropolitan","5629"
"5678","Keilor East",4,"h",845000,"S","Brad","4/06/2016",12.8,1,1,622,126,1965,"Brimbank City Council",-37.7425,144.8683,"Western Metropolitan","5629"
"5681","Keilor East",3,"h",772000,"S","Nelson","7/05/2016",12.8,2,3,672,132,1980,"Brimbank City Council",-37.7465,144.876,"Western Metropolitan","5629"
"5683","Keilor East",3,"h",650000,"SP","Nelson","7/05/2016",12.8,2,2,3977,113,2013,"Brimbank City Council",-37.747,144.8663,"Western Metropolitan","5629"
"5684","Keilor East",3,"h",757000,"S","Nelson","7/11/2016",12.8,2,1,532,140,1960,"Brimbank City Council",-37.7295,144.8644,"Western Metropolitan","5629"
"5686","Keilor East",3,"h",690000,"S","Harcourts","8/10/2016",12.8,2,2,568,148,1970,"Brimbank City Council",-37.7469,144.8526,"Western Metropolitan","5629"
"5688","Keilor East",3,"h",583000,"S","Alexkarbon","10/09/2016",12.8,1,1,412,133,2003,"Brimbank City Council",-37.7459,144.8643,"Western Metropolitan","5629"
"5690","Keilor East",3,"h",880000,"S","Nelson","10/12/2016",12.8,1,2,584,123,1980,"Brimbank City Council",-37.7435,144.8798,"Western Metropolitan","5629"
"5691","Keilor East",3,"u",580000,"S","Rendina","10/12/2016",12.8,2,2,112,138,2013,"Brimbank City Council",-37.7434,144.881,"Western Metropolitan","5629"
"5692","Keilor East",4,"t",886000,"S","Barry","10/12/2016",12.8,3,1,322,257,1950,"Brimbank City Council",-37.7293,144.8659,"Western Metropolitan","5629"
"5694","Keilor East",4,"h",920000,"SP","Brad","10/12/2016",12.8,2,2,745,182,1992,"Brimbank City Council",-37.7479,144.8805,"Western Metropolitan","5629"
"5699","Keilor East",3,"h",976000,"S","Nelson","12/11/2016",12.8,3,2,605,212,1980,"Brimbank City Council",-37.7459,144.8788,"Western Metropolitan","5629"
"5701","Keilor East",4,"h",1420000,"S","Barry","12/11/2016",12.8,2,2,613,250,2011,"Brimbank City Council",-37.7453,144.8721,"Western Metropolitan","5629"
"5703","Keilor East",3,"h",9e+05,"S","Nelson","12/11/2016",12.8,1,1,713,127,1970,"Brimbank City Council",-37.7301,144.8671,"Western Metropolitan","5629"
"5710","Keilor East",3,"u",560000,"S","Moonee","14/05/2016",12.8,1,2,352,102,2000,"Brimbank City Council",-37.7459,144.8673,"Western Metropolitan","5629"
"5711","Keilor East",4,"h",1010000,"S","Barry","14/05/2016",12.8,2,2,776,268,1980,"Brimbank City Council",-37.7502,144.8745,"Western Metropolitan","5629"
"5717","Keilor East",4,"h",835000,"S","Nelson","16/04/2016",12.8,2,3,708,184,1990,"Brimbank City Council",-37.7452,144.8652,"Western Metropolitan","5629"
"5718","Keilor East",3,"t",705000,"S","Barry","16/04/2016",12.8,2,1,440,156,1995,"Brimbank City Council",-37.7517,144.8776,"Western Metropolitan","5629"
"5721","Keilor East",3,"t",680000,"SP","Nelson","18/03/2017",12.8,2,2,224,154,1998,"Brimbank City Council",-37.749,144.8599,"Western Metropolitan","5629"
"5728","Keilor East",3,"h",785000,"S","Barry","18/06/2016",12.8,1,2,606,141,1965,"Brimbank City Council",-37.7311,144.8663,"Western Metropolitan","5629"
"5730","Keilor East",3,"h",695000,"S","Barry","19/11/2016",12.8,2,2,716,154,1970,"Brimbank City Council",-37.734,144.8593,"Western Metropolitan","5629"
"5732","Keilor East",2,"u",502000,"S","Nelson","22/05/2016",12.8,1,2,478,85,1990,"Brimbank City Council",-37.7346,144.8646,"Western Metropolitan","5629"
"5733","Keilor East",4,"h",770000,"S","Nelson","22/05/2016",12.8,2,2,546,174,1970,"Brimbank City Council",-37.7428,144.8536,"Western Metropolitan","5629"
"5735","Keilor East",3,"h",570000,"SP","HAR","22/05/2016",12.8,1,2,542,120,1970,"Brimbank City Council",-37.7408,144.8553,"Western Metropolitan","5629"
"5737","Keilor East",4,"h",830000,"S","Moonee","22/08/2016",12.8,2,2,686,198,1995,"Brimbank City Council",-37.7394,144.8628,"Western Metropolitan","5629"
"5738","Keilor East",3,"h",6e+05,"S","Bells","22/08/2016",12.8,1,1,565,125,1970,"Brimbank City Council",-37.7498,144.8585,"Western Metropolitan","5629"
"5739","Keilor East",3,"h",825000,"S","Nelson","23/04/2016",12.8,2,1,630,126,2017,"Brimbank City Council",-37.7378,144.8705,"Western Metropolitan","5629"
"5744","Keilor East",4,"h",735000,"SP","Nelson","24/09/2016",12.8,2,2,547,184,2000,"Brimbank City Council",-37.7381,144.8554,"Western Metropolitan","5629"
"5746","Keilor East",3,"h",875000,"PI","Barry","26/07/2016",12.8,2,2,928,130,1970,"Brimbank City Council",-37.7362,144.8643,"Western Metropolitan","5629"
"5747","Keilor East",3,"h",601200,"S","Nelson","27/06/2016",12.8,1,1,554,147,1960,"Brimbank City Council",-37.7303,144.8636,"Western Metropolitan","5629"
"5750","Keilor East",3,"h",680000,"S","Nelson","27/06/2016",12.8,1,2,558,105,1980,"Brimbank City Council",-37.7305,144.8646,"Western Metropolitan","5629"
"5758","Keilor East",3,"h",705000,"S","Nelson","28/05/2016",12.8,1,2,616,201,1970,"Brimbank City Council",-37.7449,144.8533,"Western Metropolitan","5629"
"5759","Keilor East",3,"t",710000,"SP","Nelson","28/08/2016",12.8,2,1,320,133,2013,"Brimbank City Council",-37.7415,144.8668,"Western Metropolitan","5629"
"5761","Keilor East",4,"h",732000,"S","Nelson","28/08/2016",12.8,2,2,544,233,1980,"Brimbank City Council",-37.7479,144.8763,"Western Metropolitan","5629"
"5762","Keilor East",3,"h",715000,"SP","Moonee","30/07/2016",12.8,2,4,598,123,1970,"Brimbank City Council",-37.7487,144.8526,"Western Metropolitan","5629"
"5764","Kensington",3,"h",852000,"S","Nelson","3/09/2016",4.2,1,1,166,138,2000,"Melbourne City Council",-37.7929,144.9197,"Northern Metropolitan","5263"
"5765","Kensington",3,"h",1037000,"S","Rendina","3/09/2016",4.2,1,1,188,106,1910,"Melbourne City Council",-37.7953,144.9275,"Northern Metropolitan","5263"
"5767","Kensington",3,"h",1470000,"S","Nelson","4/03/2017",4.2,1,1,199,121,1910,"Melbourne City Council",-37.7957,144.932,"Northern Metropolitan","5263"
"5770","Kensington",2,"u",492500,"S","Pagan","4/06/2016",4.2,1,1,478,81,2008,"Melbourne City Council",-37.7974,144.9261,"Northern Metropolitan","5263"
"5771","Kensington",2,"u",420000,"VB","Alexkarbon","4/06/2016",4.2,1,1,478,55,1970,"Melbourne City Council",-37.794,144.923,"Northern Metropolitan","5263"
